"","site","number","gps_n","gps_w","seedling_or_adult","dbh_cm","adult_crown_class","adult_dead_or_alive","adult_percent_live_canopy","live_adult_base_epicormics","live_adult_trunk_epicormics","live_adult_canker_presence","live_adult_callus_presence","live_adult_canker_base","live_adult_canker_1st9ft","live_adult_canker_1stlivebranch","live_adult_girdle","live_adult_purdue_canker_rating","live_adult_purdue_canopy_ranking","basal_diameter_mm","seedling_germ_yr","seedling_dead_or_alive","seedling_canker_base","seedling_canker_stem","seedling_girdle"
"2","ILM","037",44.88356,-73.3298,"Adult",36,"Dominant","Alive",0,"N","Y","Y","Yes",25,30,25,30,3,5,NA,NA,"",NA,NA,NA
"1","ILM","034",44.88345,-73.3294,"Adult",30.7,"Dominant","Alive",2,"N","N","Y","Yes",5,10,15,15,2,4.5,NA,NA,"",NA,NA,NA
"6","ILM","193",44.88669,-73.3302,"Adult",34.1,"Intermediate","Alive",70,"N","Y","Y","Yes",1,5,2,5,1,2.5,NA,NA,"",NA,NA,NA
"9","ILM","226",44.88175,-73.3304,"Adult",35.6,"Co-dominant","Alive",65,"N","N","Y","Yes",15,15,10,15,1.5,2.5,NA,NA,"",NA,NA,NA
"7","ILM","202",44.88253,-73.3309,"Adult",33.6,"Dominant","Alive",75,"N","N","Y","Yes",35,40,30,30,2.5,1.5,NA,NA,"",NA,NA,NA
"21","ILM","066",44.88448,-73.3278,"Adult",27.8,"Co-dominant","Alive",70,"N","N","Y","Yes",20,25,30,30,2.5,2.5,NA,NA,"",NA,NA,NA
"5","ILM","095",44.88446,-73.3281,"Adult",31.3,"Dominant","Alive",75,"N","N","Y","Yes",30,15,12,30,2.5,2,NA,NA,"",NA,NA,NA
"8","ILM","225",44.88175,-73.3304,"Adult",40.9,"Co-dominant","Alive",70,"N","N","Y","Yes",20,10,10,15,1.5,2,NA,NA,"",NA,NA,NA
"14","ILM","118",44.88659,-73.3237,"Adult",6.7,"Intermediate","Alive",100,"Y","N","Y","NA - no large cankers present",0,NA,1,2,1,1,NA,NA,"",NA,NA,NA
"71","ILM","40",44.88273,-73.33,"Adult",29.9,"Co-dominant","Alive",80,"N","N","Y","Yes",50,35,25,20,3,1.5,NA,NA,"",NA,NA,NA
"10","ILM","069",44.88486,-73.3271,"Adult",30.5,"Co-dominant","Alive",95,"N","N","Y","Yes",5,30,20,25,2.5,1,NA,NA,"",NA,NA,NA
"3","ILM","53",44.88345,-73.3272,"Adult",5.6,"Suppressed","Alive",95,"N","N","Y","Yes",25,NA,10,30,1.5,2,NA,NA,"",NA,NA,NA
"51","ILM","007",44.88432,-73.3269,"Adult",39.9,"Dominant","Alive",95,"N","N","Y","Yes",35,20,20,30,2,2,NA,NA,"",NA,NA,NA
"15","ILM","124",44.88351,-73.3262,"Adult",12.5,"Co-dominant","Alive",85,"N","Y","Y","Yes",15,20,25,25,2.5,2,NA,NA,"",NA,NA,NA
"4","ILM","044",44.88296,-73.3308,"Adult",21,"Intermediate","Alive",0,"Y","Y","Y","Yes",20,40,45,40,3.5,5,NA,NA,"",NA,NA,NA
"22","ILM","055",44.88297,-73.331,"Adult",30.2,"Dominant","Alive",10,"N","Y","Y","Yes",50,25,15,50,3,4,NA,NA,"",NA,NA,NA
"72","ILM","169",44.88303,-73.3271,"Adult",18.3,"Dominant","Alive",10,"N","N","Y","Yes",40,25,25,36,2.5,1,NA,NA,"",NA,NA,NA
"81","ILM","242",44.88265,-73.3304,"Adult",32.3,"Dominant","Alive",25,"N","N","Y","Yes",10,45,45,55,3.5,2.5,NA,NA,"",NA,NA,NA
"91","ILM","173",44.88559,-73.3296,"Adult",46.3,"Co-dominant","Alive",15,"Y","Y","Y","Yes",45,NA,15,45,2.5,4.5,NA,NA,"",NA,NA,NA
"13","ILM","175",44.88634,-73.3292,"Adult",32.9,"Co-dominant","Alive",30,"N","Y","Y","Yes",45,20,25,35,2.5,5,NA,NA,"",NA,NA,NA
"12","ILM","062",44.88589,-73.3285,"Adult",26.3,"Co-dominant","Alive",70,"N","N","Y","Yes",45,NA,15,50,3,1.5,NA,NA,"",NA,NA,NA
"61","ILM","198",44.88373,-73.3315,"Adult",32.9,"Dominant","Alive",75,"N","N","Y","Yes",45,25,10,40,2,1.5,NA,NA,"",NA,NA,NA
"52","ILM","006",44.88442,-73.3271,"Adult",5.2,"Suppressed","Alive",65,"Y","Y","Y","Yes",15,NA,10,40,2.5,3,NA,NA,"",NA,NA,NA
"31","ILM","58",44.88297,-73.3313,"Adult",30,"Co-dominant","Alive",70,"N","N","Y","Yes",45,30,20,45,2.5,2,NA,NA,"",NA,NA,NA
"92","ILM","221",44.88242,-73.3308,"Adult",26.4,"Dominant","Alive",55,"Y","N","Y","Yes",30,45,30,50,3,2.5,NA,NA,"",NA,NA,NA
"16","ILM","586",44.88579,-73.329,"Adult",25.8,"Intermediate","Alive",70,"Y","N","Y","Yes",50,55,55,50,3.5,3,NA,NA,"",NA,NA,NA
"62","ILM","101",44.88375,-73.3266,"Adult",17.5,"Intermediate","Alive",85,"N","N","Y","Yes",35,30,30,35,3,1.5,NA,NA,"",NA,NA,NA
"23","ILM","046",44.88361,-73.3272,"Adult",7.2,"Intermediate","Alive",100,"Y","N","Y","Yes",30,NA,15,50,2,1.5,NA,NA,"",NA,NA,NA
"32","ILM","089",44.88436,-73.3276,"Adult",24.3,"Co-dominant","Alive",85,"N","N","Y","Yes",15,50,55,60,3.5,1.5,NA,NA,"",NA,NA,NA
"73","ILM","103",44.88427,-73.3267,"Adult",21.8,"Co-dominant","Alive",90,"N","Y","Y","Yes",60,35,20,55,3.5,2,NA,NA,"",NA,NA,NA
"151","ILM","582",44.8835,-73.3333,"Adult",4.5,"Intermediate","Alive",95,"Y","N","Y","Yes",0,NA,20,45,1,1,NA,NA,"",NA,NA,NA
"141","ILM","206",44.88284,-73.3313,"Adult",34.4,"Co-dominant","Alive",95,"N","N","Y","Yes",55,45,40,45,3,1.5,NA,NA,"",NA,NA,NA
"82","ILM","228",44.88245,-73.3305,"Adult",24.8,"Co-dominant","Alive",20,"Y","N","Y","Yes",75,65,70,75,4,3,NA,NA,"",NA,NA,NA
"93","ILM","230",44.88271,-73.3305,"Adult",34.7,"Dominant","Alive",5,"N","N","Y","Yes",50,35,30,70,3.5,4,NA,NA,"",NA,NA,NA
"41","ILM","126",44.88257,-73.328,"Adult",37.4,"Co-dominant","Alive",0,"N","Y","Y","Yes",75,NA,95,95,5,5,NA,NA,"",NA,NA,NA
"11","ILM","233",44.88239,-73.329,"Adult",26.1,"Intermediate","Alive",25,"N","N","Y","Yes",65,55,55,80,3.5,2.5,NA,NA,"",NA,NA,NA
"53","ILM","130",44.88272,-73.329,"Adult",20.2,"Intermediate","Alive",15,"N","Y","Y","Yes",35,65,60,95,4,3,NA,NA,"",NA,NA,NA
"101","ILM","231",44.88245,-73.3292,"Adult",25.1,"Intermediate","Alive",5,"Y","N","Y","Yes",70,NA,85,95,5,5,NA,NA,"",NA,NA,NA
"102","ILM","127",44.88263,-73.3283,"Adult",33.2,"Co-dominant","Alive",60,"N","N","Y","Yes",90,70,60,90,4,2,NA,NA,"",NA,NA,NA
"121","ILM","195",44.883961,-73.326787,"Adult",6.8,"Intermediate","Alive",75,"Y","N","Y","Yes",55,75,70,70,4,2,NA,NA,"",NA,NA,NA
"83","ILM","110",44.8845,-73.3265,"Adult",21.5,"Co-dominant","Alive",45,"Y","Y","Y","Yes",60,70,55,90,4.5,3.5,NA,NA,"",NA,NA,NA
"17","ILM","017",44.88394,-73.3267,"Adult",18,"Intermediate","Alive",60,"N","N","Y","Yes",80,40,40,80,3.5,2.5,NA,NA,"",NA,NA,NA
"111","ILM","182",44.88276,-73.3271,"Adult",31.6,"Co-dominant","Alive",75,"N","N","Y","Yes",45,85,70,95,4.5,2,NA,NA,"",NA,NA,NA
"142","ILM","236",44.88256,-73.3298,"Adult",34.6,"Co-dominant","Alive",65,"N","N","Y","Yes",50,70,55,75,4,2,NA,NA,"",NA,NA,NA
"84","ILM","093",44.88429,-73.3279,"Adult",16.9,"Co-dominant","Alive",85,"N","N","Y","Yes",25,20,40,65,3,1.5,NA,NA,"",NA,NA,NA
"24","ILM","064",44.88456,-73.3277,"Adult",35.5,"Dominant","Alive",85,"N","N","Y","Yes",70,65,45,85,3.5,1.5,NA,NA,"",NA,NA,NA
"63","ILM","071",44.88492,-73.3271,"Adult",19,"Co-dominant","Alive",100,"N","N","Y","Yes",15,20,10,65,3,1.5,NA,NA,"",NA,NA,NA
