"","response","email","date","site","initials","number","camera","first_photo","gps_n","gps_w","slope","aspect","height_ft","seedling_or_adult","dbh_cm","adult_crown_class","adult_dead_or_alive","dead_adult_base_epicormics","dead_adult_trunk_epicormics","dead_adult_canker_presence","dead_adult_canker_base","dead_adult_canker_1st9ft","dead_adult_canker_1stlivebranch","dead_adult_girdle","producing_seed","adult_percent_live_canopy","live_adult_base_epicormics","live_adult_trunk_epicormics","live_adult_canker_presence","live_adult_callus_presence","live_adult_canker_base","live_adult_canker_1st9ft","live_adult_canker_1stlivebranch","live_adult_girdle","live_adult_purdue_canker_rating","live_adult_purdue_canopy_ranking","densi_n","densi_e","densi_s","densi_w","basal_diameter_mm","seedling_damage","seedling_previous_stem_count","seedling_germ_yr","seedling_dead_or_alive","dead_seedling_canker_presence","seedling_percent_live_canopy","live_seedling_canker_presence","live_seedling_callus_presence","seedling_canker_base","seedling_canker_stem","seedling_girdle","seed_count","seed_bunch_size","terminal_bud","leaf_scar","lenticels","twig_hairs","riparian_or_upland","associate_trees","competition","other_competition","last_photo","notes","hybrid_visibility","Column.67","IGNORE.1","Ignore.2","ignore.3","ignore.4","ignore.5","ignore.6","ignore.7","ignore.8","Column.77","hickory","dogwood","black.walnut","white.pine","red.cedar","white.cedar","malus","buckthorn","ash","elm","mulberry","basswood","sumac","honeysuckle","elderberry","prunus","lilac","boxelder","maple","hackberry","butternut","oak","poplar","hazelnut","beech","gooseberry","spruce","birch","seedling_damage.1","Column.105","age_clark","soil_type"
"1",57,"kyliereroth@gmail.com","8/27/2025","CPVT","","28","kylie’s phone",7568,44.33208,-73.24714,1,"w",70.3,"Adult",53.3,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",95,"N","Y","Y","Yes",15,0,0,0,1,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, maple, hickory ","Other","adjacent trees",7577,"","N",NA,"ash","butternut","maple","hickory","","","","",NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","",1958.375,0
"2",56,"kyliereroth@gmail.com","8/27/2025","CPVT","","30","kylie’s phone",7557,44.3324,-73.24667,0,"",66.8,"Adult",42.5,"Intermediate","Alive","","","",NA,NA,NA,NA,"Yes",95,"N","Y","Y","Yes",10,5,5,1,1,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"Few - less than 50 seeds on the tree","5 or fewer",NA,"","","","upland","maple, hickory, sumac, ash, butternut","None apparent","",7566,"","N",NA,"maple","hickory","sumac","ash","butternut","","","",NA,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","",1971.875,0
"3",71,"kyliereroth@gmail.com","8/28/2025","CPVT","","31","kylie’s phone",7752,44.33262,-73.24793,1,"w",2.2,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,94,96,14.8,"Deer browse",1,2021,"Alive","",80,"N","",NA,NA,NA,"","",0,"0","0","0","upland","ash, butternut","Nearby grasses or forbs","",7761,"clear signs of damage at base, Dale says this is not canker ","Y",NA,"ash","butternut","","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Deer browse","",2021,0
"4",72,"kyliereroth@gmail.com","8/28/2025","CPVT","","32","kylie’s phone",7762,44.33262,-73.24791,1,"w",1.6,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,90,96,11.1,"",1,2022,"Alive","",90,"Y","N",25,0,25,"","",0,"0","0","0","upland","ash, butternut ","Nearby grasses or forbs","",7772,"","Y",NA,"ash","butternut","","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","",2022,0
"5",73,"kyliereroth@gmail.com","8/28/2025","CPVT","","33","kylie’s phone",7773,44.33248,-73.2481,1,"w",2.1,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,90,93,96,9.8,"Deer browse",3,2021,"Alive","",70,"N","",NA,NA,NA,"","",0,"0","0","0","upland","ash, butternut","Nearby grasses or forbs","",7785,"second stem 9.2mm basal diameter","Y",NA,"ash","butternut","","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Deer browse","",2021,0
"6",75,"kyliereroth@gmail.com","8/28/2025","CPVT","","34","kylie’s phone",7797,44.3325,-73.24834,1,"w",1.6,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,95,49,85,6.1,"Rabbit browse",1,2022,"Alive","",90,"N","",NA,NA,NA,"","",0,"0","0","0","upland","ash, butternut, sumac, maple","Nearby grasses or forbs","",7805,"","Y",NA,"ash","butternut","sumac","maple","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Rabbit browse","",2022,0
"7",76,"kyliereroth@gmail.com","8/28/2025","CPVT","","35","kylie’s phone",7806,44.33247,-73.24842,1,"w",1.7,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,91,96,8.7,"Deer browse",1,2022,"Alive","",90,"N","",NA,NA,NA,"","",0,"0","0","0","upland","ash, maple, butternut, sumac","Nearby grasses or forbs","",7818,"","Y",NA,"ash","maple","butternut","sumac","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Deer browse","",2022,0
"8",74,"kyliereroth@gmail.com","8/28/2025","CPVT","","36","kylie’s phone",7786,44.33248,-73.24801,1,"w",36.9,"Adult",20.6,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",100,"N","N","Y","Yes",0,20,30,30,1.5,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",0,"0","0","1","upland","ash, butternut ","Vines on the tree","",7796,"","Y",NA,"ash","butternut","","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","",1999.25,0
"9",23,"kyliereroth@gmail.com","8/25/2025","CPVT","","37","Kylie’s phone",7144,44.33526,-73.24285,6,"w",54.3,"Adult",39.2,"Dominant","Alive","","","",NA,NA,NA,NA,"Yes",100,"N","N","Y","Yes",15,10,8,10,3,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"Lots - more than 50 seeds on the tree","5 or fewer",0,"0","0","0","upland","ash, butternut, red cedar, malus","Nearby shrubs","",7162,"","Y",NA,"ash","butternut","red cedar","malus","","","","",NA,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","",1976,0
"10",24,"kyliereroth@gmail.com","8/25/2025","CPVT","","38","kylie’s phone ",7163,44.33501,-73.24323,8,"NWW",79.7,"Adult",58.4,"Dominant","Alive","","","",NA,NA,NA,NA,"No",95,"N","N","Y","Yes",5,10,5,10,2,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","honeysuckle, red cedar, ash, malus","Nearby shrubs, Vines on the tree","",7173,"very hard to assess canker on the trunk due to the wetness of the bark making everything appear very dark ","N",NA,"honeysuckle","red cedar","ash","malus","","","","",NA,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1952,0
