"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XA005NY"|"Acidic Sandy Outwash"|"27657152"|"13128297"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB002VT"|"Dry Outwash"|"27657153"|"13128298"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB018VT"|"Moist Lake Plain"|"27657184"|"13128305"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB003VT"|"Moist Outwash"|"27657185"|"13128306"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB018VT"|"Moist Lake Plain"|"27657188"|"13128307"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB003VT"|"Moist Outwash"|"27657189"|"13128308"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB007VT"|"Wet Clayplain Depression"|"27657252"|"13128324"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB004VT"|"Wet Outwash Depression"|"27657274"|"13128331"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XA014NY"|"Wet Lacustrine Depression"|"27657275"|"13128332"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB010NY"|"Shallow Rich Till Upland"|"27657280"|"13128335"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB010NY"|"Shallow Rich Till Upland"|"27657287"|"13128336"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657294"|"13128337"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB010NY"|"Shallow Rich Till Upland"|"27657295"|"13128338"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657306"|"13128341"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB010NY"|"Shallow Rich Till Upland"|"27657307"|"13128342"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB013NY"|"Moist Till Upland"|"27657314"|"13128343"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB013NY"|"Moist Till Upland"|"27657322"|"13128345"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB002VT"|"Dry Outwash"|"27657365"|"13128358"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB002VT"|"Dry Outwash"|"27657370"|"13128359"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB002VT"|"Dry Outwash"|"27657375"|"13128360"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB004VT"|"Wet Outwash Depression"|"27657392"|"13128363"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB007VT"|"Wet Clayplain Depression"|"27657398"|"13128365"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB013NY"|"Moist Till Upland"|"27657453"|"13128381"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657479"|"13128391"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657484"|"13128392"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657488"|"13128393"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657559"|"13128409"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657560"|"13128410"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657565"|"13128411"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657566"|"13128412"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657571"|"13128413"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657572"|"13128414"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657577"|"13128415"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657578"|"13128416"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657583"|"13128417"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB012VT"|"Rich Till Upland"|"27657584"|"13128418"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB005VT"|"Clayplain"|"27657588"|"13128419"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB005VT"|"Clayplain"|"27657592"|"13128420"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F142XB005VT"|"Clayplain"|"27657595"|"13128421"
