"CL-ML"|No |"82713420"|"152936392"
"ML"|Yes|"82713420"|"152936393"
"CL-ML"|No |"82713422"|"152936398"
"ML"|No |"82713422"|"152936399"
"SM"|Yes|"82713422"|"152936400"
"CL-ML"|No |"82713423"|"152936401"
"ML"|Yes|"82713423"|"152936402"
"CL-ML"|No |"82713421"|"152936394"
"GM"|No |"82713421"|"152936395"
"ML"|No |"82713421"|"152936396"
"SM"|Yes|"82713421"|"152936397"
"ML"|Yes|"82713424"|"152936403"
"SM"|No |"82713424"|"152936404"
"GC"|No |"82713425"|"152936405"
"GM"|No |"82713425"|"152936406"
"ML"|Yes|"82713425"|"152936407"
"CL-ML"|No |"82713427"|"152936409"
"CL"|Yes|"82713427"|"152936408"
"ML"|No |"82713427"|"152936410"
"CL"|No |"82713428"|"152936411"
"ML"|No |"82713428"|"152936412"
"SM"|Yes|"82713428"|"152936413"
"CL-ML"|No |"82713431"|"152936417"
"GC-GM"|No |"82713431"|"152936418"
"GM"|No |"82713431"|"152936419"
"ML"|Yes|"82713431"|"152936420"
"GM"|No |"82713430"|"152936414"
"ML"|Yes|"82713430"|"152936415"
"SM"|No |"82713430"|"152936416"
"ML"|Yes|"82713433"|"152936421"
"SM"|No |"82713433"|"152936422"
"GM"|Yes|"82713435"|"152936426"
"GM"|No |"82713434"|"152936423"
"ML"|No |"82713434"|"152936424"
"SM"|Yes|"82713434"|"152936425"
"SM"|Yes|"82713437"|"152936427"
"SM"|Yes|"82713438"|"152936428"
"SM"|Yes|"82713439"|"152936429"
"ML"|Yes|"82713442"|"152936434"
"SM"|No |"82713442"|"152936435"
"CL-ML"|Yes|"82713443"|"152936439"
"ML"|No |"82713443"|"152936436"
"SC"|No |"82713443"|"152936437"
"SM"|No |"82713443"|"152936438"
"CL-ML"|No |"82713444"|"152936440"
"ML"|Yes|"82713444"|"152936441"
"SM"|No |"82713444"|"152936442"
"SC-SM"|No |"82713447"|"152936452"
"ML"|Yes|"82713447"|"152936451"
"CL-ML"|No |"82713445"|"152936444"
"SC-SM"|No |"82713445"|"152936446"
"CL"|Yes|"82713445"|"152936443"
"GC"|No |"82713445"|"152936445"
"CL-ML"|No |"82713446"|"152936448"
"CL"|Yes|"82713446"|"152936447"
"GC"|No |"82713446"|"152936449"
"SC"|No |"82713446"|"152936450"
"ML"|Yes|"82713451"|"152936462"
