"CH"|No |"82718078"|"152955244"
"MH"|Yes|"82718078"|"152955245"
"CH"|Yes|"82718077"|"152955246"
"MH"|No |"82718077"|"152955247"
"MH"|Yes|"82718076"|"152955248"
"MH"|Yes|"82718075"|"152955249"
"MH"|Yes|"82718074"|"152955250"
"MH"|Yes|"82718073"|"152955251"
"ML"|No |"82718073"|"152955252"
"CH"|No |"82718072"|"152955253"
"MH"|Yes|"82718072"|"152955254"
"CH"|No |"82718071"|"152955255"
"MH"|Yes|"82718071"|"152955256"
"MH"|Yes|"82718070"|"152955257"
"ML"|No |"82718070"|"152955258"
"CL"|No |"82718004"|"152955464"
"GC"|Yes|"82718004"|"152955468"
"GM"|No |"82718004"|"152955465"
"ML"|No |"82718004"|"152955466"
"SM"|No |"82718004"|"152955467"
"CL-ML"|No |"82718005"|"152955462"
"CL"|Yes|"82718005"|"152955461"
"ML"|No |"82718005"|"152955463"
"GC-GM"|No |"82718000"|"152955475"
"SC-SM"|No |"82718000"|"152955477"
"GM"|No |"82718000"|"152955476"
"SM"|Yes|"82718000"|"152955478"
"CL-ML"|No |"82718002"|"152955469"
"GM"|No |"82718002"|"152955470"
"ML"|No |"82718002"|"152955471"
"SM"|Yes|"82718002"|"152955472"
"ML"|Yes|"82718001"|"152955473"
"SM"|No |"82718001"|"152955474"
"CL-ML"|No |"82717999"|"152955480"
"CL"|No |"82717999"|"152955479"
"GC"|No |"82717999"|"152955481"
"SC"|Yes|"82717999"|"152955482"
"CL-ML"|No |"82717998"|"152955484"
"CL"|Yes|"82717998"|"152955483"
"GC"|No |"82717998"|"152955485"
"SC"|No |"82717998"|"152955486"
"GC"|No |"82717997"|"152955487"
"GM"|No |"82717997"|"152955488"
"ML"|Yes|"82717997"|"152955489"
"SM"|No |"82717997"|"152955490"
"CH"|No |"82717996"|"152955491"
"MH"|Yes|"82717996"|"152955492"
"CH"|No |"82717995"|"152955493"
"MH"|Yes|"82717995"|"152955494"
"MH"|Yes|"82717994"|"152955495"
"ML"|No |"82717994"|"152955496"
"SC-SM"|Yes|"82717993"|"152955501"
"GC"|No |"82717993"|"152955497"
"GM"|No |"82717993"|"152955498"
"SC"|No |"82717993"|"152955499"
"SM"|No |"82717993"|"152955500"
"CL"|No |"82717992"|"152955502"
"GC"|No |"82717992"|"152955503"
"GM"|No |"82717992"|"152955504"
"ML"|Yes|"82717992"|"152955505"
"CL-ML"|Yes|"82717991"|"152955506"
"ML"|No |"82717991"|"152955507"
"SC"|No |"82717991"|"152955508"
"SM"|No |"82717991"|"152955509"
"CL"|No |"82717989"|"152955510"
"GC"|Yes|"82717989"|"152955514"
"GM"|No |"82717989"|"152955511"
"ML"|No |"82717989"|"152955512"
"SM"|No |"82717989"|"152955513"
"CL-ML"|No |"82717988"|"152955516"
"CL"|Yes|"82717988"|"152955515"
"ML"|No |"82717988"|"152955517"
"GC-GM"|No |"82717984"|"152955524"
"SC-SM"|No |"82717984"|"152955526"
"GM"|No |"82717984"|"152955525"
"SM"|Yes|"82717984"|"152955527"
"CL-ML"|No |"82717986"|"152955518"
"GM"|No |"82717986"|"152955519"
"ML"|No |"82717986"|"152955520"
"SM"|Yes|"82717986"|"152955521"
"ML"|Yes|"82717985"|"152955522"
"SM"|No |"82717985"|"152955523"
"CL-ML"|No |"82717983"|"152955529"
"CL"|No |"82717983"|"152955528"
"GC"|No |"82717983"|"152955530"
"SC"|Yes|"82717983"|"152955531"
"CL-ML"|No |"82717982"|"152955533"
"CL"|Yes|"82717982"|"152955532"
"GC"|No |"82717982"|"152955534"
"SC"|No |"82717982"|"152955535"
"GC"|No |"82717981"|"152955536"
"GM"|No |"82717981"|"152955537"
"ML"|Yes|"82717981"|"152955538"
"SM"|No |"82717981"|"152955539"
"CH"|No |"82717980"|"152955540"
"MH"|Yes|"82717980"|"152955541"
"CH"|No |"82717979"|"152955542"
"MH"|Yes|"82717979"|"152955543"
"MH"|Yes|"82717978"|"152955544"
"ML"|No |"82717978"|"152955545"
"SC-SM"|Yes|"82717977"|"152955550"
"GC"|No |"82717977"|"152955546"
"GM"|No |"82717977"|"152955547"
"SC"|No |"82717977"|"152955548"
"SM"|No |"82717977"|"152955549"
"CL"|No |"82717976"|"152955551"
"GC"|No |"82717976"|"152955552"
"GM"|No |"82717976"|"152955553"
"ML"|Yes|"82717976"|"152955554"
"CL-ML"|Yes|"82717975"|"152955558"
"ML"|No |"82717975"|"152955555"
"SC"|No |"82717975"|"152955556"
"SM"|No |"82717975"|"152955557"
"CL"|No |"82717973"|"152955559"
"GC"|Yes|"82717973"|"152955563"
"GM"|No |"82717973"|"152955560"
